recordID,species,scientificName,mo,dy,yr,period,plot,note1,stake,locality,coordinates,county,state,country,sex
6545,AB,  Amphispiza bilineata,9,18,1982,62,13,13,36,"Winterthur Gardens, Delaware",,NULL,NULL,UNITED STATES,
5220,AB,  Amphispiza bilineata  ,1,24,1982,54,20,13,27,"Winterthur Gardens, Delaware",,NULL,NULL,UNITED STATES,
7020,AH,Ammospermophilis harrisi,11,21,1982,63,24,13,72,Muscogee-Rerdido [Perdido] River.,30.44972|-87.38167,Escambia,Florida,United States of America,
7645,AH,Ammospermophilus harrisii,4,16,1983,67,24,13,21,near Lake Lindsey.,28.63444|-82.35944,Hernando,Florida,United States of America,
8641,AH,Ammospermophilus harrisi,11,13,1983,74,15,13,25,road to St. Mark's lighthouse; St. Mark's Wildlife Refuge.,,Wakulla,Florida,United States of America,
9495,AH,Ammospermophilus harrisii,8,26,1984,82,9,13,21,3.5 miles north of Allicance Cross Road on Fla. Rt. 71.,,Jackson,Florida,United States of America,
9583,AH,Ammospermophilus harrisii,9,30,1984,83,15,13,37,"St. Vincent Island, wet swale",,NULL,NULL,UNITED STATES,
9862,AH,Ammospermophilus harrisii,1,20,1985,86,13,13,11,"Eagle Mountain Trailhead, Clearwater National Forest",46.33778|-115.11639,Idaho,Idaho,UNITED STATES,
9882,AH,Ammospermophilus harrisii,1,20,1985,86,15,13,31,"Eagle Mountain Trailhead, Clearwater National Forest",46.33778|-115.11639,Idaho,Idaho,UNITED STATES,
9891,AH,Ammospermophilus harrisii,1,20,1985,86,1,13,43,"Split Creek Trail, Nez Perce National Forest",45.45|-115.91667,Idaho,Idaho,UNITED STATES,
9939,AH,Ammospermophilus harrisii,2,16,1985,87,20,13,25,"Split Creek Trail, Nez Perce National Forest",45.45|-115.91667,Idaho,Idaho,UNITED STATES,
10153,AH,Ammospermophilus harrisii,4,20,1985,-88,24,13,15,"Split Creek Trail, Nez Perce National Forest",45.45|-115.91667,Idaho,Idaho,UNITED STATES,
10450,AH,Ammospermophilus harrisii,6,15,1985,90,19,13,13,"Canyon Creek Trailhead, Clearwater National Forest",45.389905|-114.804434,Idaho,Idaho,UNITED STATES,
10498,AH,Ammospermophilus harrisii,6,16,1985,90,3,13,24,"FS Rd 25 4.6 mi S of FS Rd 300, Gifford Pinchot National Forest",,Lewis,Washington,UNITED STATES,
10509,AH,Ammospermophilus harrisii,6,16,1985,90,15,13,33,"FS Rd 25 4.6 mi S of FS Rd 300, Gifford Pinchot National Forest",,Lewis,Washington,UNITED STATES,
10694,AH,Ammospermophilus harrisii,8,20,1985,92,15,13,33,"FS Rd 25 4.6 mi S of FS Rd 300, Gifford Pinchot National Forest",,Lewis,Washington,UNITED STATES,
